ID,Ente di riferimento,Dipartimento,Altri enti,Nome Progetto (Codice univoco a cura del compilatore),risultati,luogo,LAT_WGS84,LON_WGS84,livello (M=città metrop; C=comune; S=sito),principali dati oggetto della ricerca a disposizione,formato del dato,Tipologia di sito,Crierio di scelta del sito,altre info monitorate di cui si possiede dato,Taxon monitorato (1),Componente monitorata (1),Anni di riferimento (dal 2010 in avanti),vista streetview
POLIMI1,Politecnico di Milano,,,Forestami,www.forestami.org,Città Metropolitana di Milano,45.48336,9.21683,M,"tree canopy cover, aree potenziali di piantagione, temperatura suoli, tipologia piante selezionate",GIS; excel,"urbano, periurbano","inquinamento ambientale, gradiente di temperatura","uso del suolo,temperature",,,2018-ongoing,
POLIMI2,Politecnico di Milano,,,Prato,report,Comune di Prato,43.87567,11.08461,C,"aree potenziali forestazione,  temperatura suoli, tipologia piante selezionate",GIS; excel,"urbano, periurbano",pilota individuati per importanza,"uso del suolo,temperature",,,2021,
POLIMI3,Politecnico di Milano,,Università degli Studi di Firenze,AerialWaste,dataset,"Brescia, Pavia, Lodi, Cremona, Milano, Bergamo, Monza e della Brianza, Lecco, Como, Mantova, Varese",,,S,aree potenziali con siti di scarico illegale di rifiuti,JSON; png,varie,rilevati da esperti in fotointerpretazione,"evidenza e severità, per un sottoinsieme delle località, tipo di rifiuti presente",,,2018- 2021,
POLIMI4,Politecnico di Milano,,,Piano Territoriale Regionale | Progetto di Valorizzazione del Paesaggio,https://www.geoportale.regione.lombardia.it,Regione Lombardia,,,,,GIS; excel,varie,"differenti tematismi di analisi su: habitat quality, processi di antoripizzazione del suolo, valori paesaggistici, valori e pressioni del paesaggio rurale",,,,2018,
POLIMI5,Politecnico di Milano,,,Agenda urbana per lo sviluppo sostenibile di Città Metriopolitana di Milano,report+dataset,Città Metropolitana di Milano,45.48336,9.21683,,,GIS,varie,"Indicatori relativi a: dotazioni ambientali, permeabilità del suolo, consumo di suolo, mobilità ciclabile, rete ecologica, aree di rigenerazione",,,,2022,
UNIMIB1,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin2',45.29205,9.11707,S,Componente zuccherina nettari dei fiori,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB2,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin2',45.29205,9.11707,S,Abbondanze insetti volatori (impollinatori),excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB3,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin1',45.29416,9.12780,S,Componente zuccherina nettari dei fiori,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB4,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin1',45.29416,9.12780,S,Interazioni pianta-impollinatore,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB5,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin1',45.29416,9.12780,S,Abbondanze insetti volatori (impollinatori),excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB6,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Casarile_'porchera2',45.30556,9.08504,S,Componente zuccherina nettari dei fiori,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB7,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Casarile_'porchera2',45.30556,9.08504,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB8,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Casarile_'porchera1',45.30586,9.09765,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB9,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Zibido San Giacomo_'zibido1',45.37315,9.10881,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB10,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,_,Abbiategrasso_'Abbiategrasso2',45.37537,8.88284,S,Interazioni pianta-impollinatore,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2020,
UNIMIB11,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,_,Abbiategrasso_'Abbiategrasso1',45.37799,8.86396,S,Interazioni pianta-impollinatore,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2020,
UNIMIB12,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Buccinasco_'assago2',45.40103,9.10213,S,Componente zuccherina nettari dei fiori,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB13,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Buccinasco_'assago2',45.40103,9.10213,S,Interazioni pianta-impollinatore,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB14,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Buccinasco_'assago2',45.40103,9.10213,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB15,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Zibido San Giacomo_'Trezzano2',45.40847,9.07656,S,"Morfometria di insetti, indicazione di stress",excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB16,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Zibido San Giacomo_'Trezzano2',45.40847,9.07656,S,Componente zuccherina nettari dei fiori,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB17,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Zibido San Giacomo_'Trezzano2',45.40847,9.07656,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB18,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Robecco Sul Naviglio_'Ticino4new',45.41119,8.85814,S,"Morfometria di insetti, indicazione di stress",excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB19,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Robecco Sul Naviglio_'Ticino4new',45.41119,8.85814,S,Componente zuccherina nettari dei fiori,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB20,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Robecco Sul Naviglio_'Ticino4new',45.41119,8.85814,S,Interazioni pianta-impollinatore,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB21,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Robecco Sul Naviglio_'Ticino4new',45.41119,8.85814,S,Abbondanze insetti volatori (impollinatori),excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB22,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Gaggiano_'Trezzano',45.42039,9.02731,S,"Morfometria di insetti, indicazione di stress",excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB23,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Gaggiano_'trezzano',45.42039,9.02731,S,Componente zuccherina nettari dei fiori,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB24,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Gaggiano_'trezzano',45.42039,9.02731,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB25,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Robecco Sul Naviglio_'Marcita1',45.42227,8.86448,S,Interazioni pianta-impollinatore,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB26,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Robecco Sul Naviglio_'Marcita1',45.42227,8.86448,S,Abbondanze insetti volatori (impollinatori),excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB27,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Robecco Sul Naviglio_'Marcita1',45.42227,8.86448,S,"Morfometria di insetti, indicazione di stress",excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB28,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollenbb,_,Milano_'Parco Vettabbia',45.42595,9.23288,S,Interazioni pianta-impollinatore,excel,Urbano,Gradiente di frammentazione di aree verdi,Land Use e frammentazione,Insetti,Plant Insects interactions (Bombus terrestris),2020,
UNIMIB29,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollenbb,_,Milano_'Parco Vettabbia',45.42595,9.23288,S,Composizione chimica di classi a valore nutrizionale,excel,Urbano,Gradiente di frammentazione di aree verdi,Land Use e frammentazione,Pollini,Proprietà fitochimiche pollini,2020,
UNIMIB30,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Peschiera Borromeo_'Peschiera',45.43327,9.33148,S,Componente zuccherina nettari dei fiori,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB31,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Peschiera Borromeo_'Peschiera',45.43327,9.33148,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB32,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Peschiera Borromeo_'Peschiera',45.43327,9.33148,S,"Morfometria di insetti, indicazione di stress",excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB33,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,_,Peschiera Borromeo_'Peschiera',45.43327,9.33148,S,Interazioni pianta-impollinatore,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB34,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollininect,_,Ponte Vecchio_'Fagiana',45.43376,8.83466,S,Composizione chimica di classi a valore nutrizionale,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche pollini,2021,
UNIMIB35,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Magenta_'Ticino2',45.43553,8.83150,S,Componente zuccherina nettari dei fiori,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB36,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Magenta_'Ticino3',45.43553,8.83150,S,Componente zuccherina nettari dei fiori,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB37,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Magenta_'Ticino2',45.43553,8.83150,S,Interazioni pianta-impollinatore,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB38,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Magenta_'Ticino3',45.43553,8.83150,S,Interazioni pianta-impollinatore,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB39,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Magenta_'Ticino2',45.43553,8.83150,S,Abbondanze insetti volatori (impollinatori),excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB40,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Magenta_'Ticino3',45.43553,8.83150,S,Abbondanze insetti volatori (impollinatori),excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB41,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Magenta_'Ticino3',45.43553,8.83150,S,"Morfometria di insetti, indicazione di stress",excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB42,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollenbb,_,Milano_'Parco Vita',45.43614,9.07791,S,Interazioni pianta-impollinatore,excel,Urbano,Gradiente di frammentazione di aree verdi,Land Use e frammentazione,Insetti,Plant Insects interactions (Bombus terrestris),2020,
UNIMIB43,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollenbb,_,Milano_'Parco Vita',45.43614,9.07791,S,Composizione chimica di classi a valore nutrizionale,excel,Urbano,Gradiente di frammentazione di aree verdi,Land Use e frammentazione,Pollini,Proprietà fitochimiche pollini,2020,
UNIMIB44,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Cesano Boscone_'cesano',45.43826,9.07841,S,Componente zuccherina nettari dei fiori,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB45,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Cesano Boscone_'cesano',45.43826,9.07841,S,Interazioni pianta-impollinatore,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB46,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Cesano Boscone_'cesano',45.43826,9.07841,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB47,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Cesano Boscone_'cesano',45.43826,9.07841,S,"Morfometria di insetti, indicazione di stress",excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB48,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollininect,_,Milano_'Ravizza',45.44712,9.19202,S,Composizione chimica di classi a valore nutrizionale,excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche pollini,2021,
UNIMIB49,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollininect,_,Milano_'Parco bologna',45.44505,9.22311,S,Composizione chimica di classi a valore nutrizionale,excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche pollini,2021,
UNIMIB50,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Milano_'Segantini',45.44527,9.17029,S,Componente zuccherina nettari dei fiori,excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB51,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Milano_'Segantini',45.44527,9.17029,S,Interazioni pianta-impollinatore,excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB52,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Milano_'Segantini',45.44527,9.17029,S,Abbondanze insetti volatori (impollinatori),excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB53,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Milano_'Segantini',45.44527,9.17029,S,"Morfometria di insetti, indicazione di stress",excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB54,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Peschiera Borromeo_'Mezzate',45.44672,9.31333,S,"Morfometria di insetti, indicazione di stress",excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB55,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Peschiera Borromeo_'Mezzate',45.44672,9.31333,S,Componente zuccherina nettari dei fiori,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB56,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Peschiera Borromeo_'Mezzate',45.44672,9.31333,S,Abbondanze insetti volatori (impollinatori),excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB57,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Milano_'Ravizza',45.44712,9.19202,S,Componente zuccherina nettari dei fiori,excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB58,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Milano_'Ravizza',45.44712,9.19202,S,Interazioni pianta-impollinatore,excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB59,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Milano_'Ravizza',45.44712,9.19202,S,Abbondanze insetti volatori (impollinatori),excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB60,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Milano_'Ravizza',45.44712,9.19202,S,"Morfometria di insetti, indicazione di stress",excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB61,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Milano_'San Bovio',45.44712,9.19202,S,"Morfometria di insetti, indicazione di stress",excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
UNIMIB62,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,_,Milano_'San Bovio',45.44712,9.19202,S,Interazioni pianta-impollinatore,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB63,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,_,Milano_'Segantini2',45.44791,9.17149,S,Interazioni pianta-impollinatore,excel,Urbano,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2020,
UNIMIB64,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollenbb,_,Milano_'Segantini',45.44527,9.17029,S,Interazioni pianta-impollinatore,excel,Urbano,Gradiente di frammentazione di aree verdi,Land Use e frammentazione,Insetti,Plant Insects interactions (Bombus terrestris),2020,
UNIMIB65,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_pollenbb,_,Milano_'Segantini',45.44527,9.17029,S,Composizione chimica di classi a valore nutrizionale,excel,Urbano,Gradiente di frammentazione di aree verdi,Land Use e frammentazione,Pollini,Proprietà fitochimiche pollini,2020,
UNIMIB66,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_ecostress,https://www.biorxiv.org/content/10.1101/2021.01.29.428756v3,Cusago_'Cusago',45.44830,9.01428,S,"Morfometria di insetti, indicazione di stress",excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Morfometria,2020,
